127.0.0.1, 2017-07-16 16:00:16, GET, /, HTTP/1.1, 200, 0.611000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/js/web2py.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-16 16:00:16, GET, /backend/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:00:17, GET, /backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:00:23, GET, /backend/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:23, GET, /backend/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:23, GET, /backend/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:00:23, GET, /backend/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:23, GET, /backend/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:23, GET, /backend/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:54, GET, /, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:00:54, GET, /backend/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:01:05, GET, /, HTTP/1.1, 200, 0.044000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/edit/backend/models/db.py, HTTP/1.1, 303, 0.296000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin, HTTP/1.1, 200, 0.063000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:02:06, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2017-07-16 16:02:06, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2017-07-16 16:02:17, POST, /admin, HTTP/1.1, 303, 0.068000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/edit/backend/models/db.py, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.005000
